排名,封面,歌名,歌手,愛心數量,愛心數量(數值),播放次數,時長,發佈日期,標籤,歌曲連結
117,https://i.ytimg.com/vi/wSTbdqo-j74/sddefault.jpg,星座になれたら,結束バンド,1.2K,1200,36.2K,4:15,2022-12-25,"#ANM, #結束バンド",https://www.marumaru-x.com/japanese-song/play-wzrv4vdlr3
118,https://i.ytimg.com/vi/hkBbUf4oGfA/sddefault.jpg,虹,菅田将暉,1.2K,1200,61.1K,4:32,2020-11-10,"#ANM, #菅田将暉",https://www.marumaru-x.com/japanese-song/play-wzrv4z57r3
119,https://i.ytimg.com/vi/JUbU6VLV6yI/sddefault.jpg,365日の紙飛行機,AKB48,1.2K,1200,70.6K,5:06,2015-12-09,"#JPOP, #AKB48",https://www.marumaru-x.com/japanese-song/play-72r993erz3
120,https://i.ytimg.com/vi/eKoD2CRr_KA/sddefault.jpg,表裏一体,ゆず,1.2K,1200,31.7K,5:47,2013-12-25,"#JPOP, #ゆず",https://www.marumaru-x.com/japanese-song/play-pynpvpxndm
121,https://i.ytimg.com/vi/v5JjlzWbkNQ/sddefault.jpg,Get Over,Dream,1.2K,1200,25.8K,5:13,2002-01-01,"#ANM, #Dream",https://www.marumaru-x.com/japanese-song/play-94ogl2mkr0
122,https://i.ytimg.com/vi/MAn9ni-drZw/sddefault.jpg,if,西野カナ,1.2K,1200,24.5K,4:53,2010-08-04,"#ANM, #西野カナ",https://www.marumaru-x.com/japanese-song/play-ymre17jwnd
123,https://i.ytimg.com/vi/7HgJIAUtICU/sddefault.jpg,踊り子,Vaundy,1.2K,1200,40K,4:06,2021-11-17,"#JPOP, #Vaundy",https://www.marumaru-x.com/japanese-song/play-v7n3k7x7ok
124,https://i.ytimg.com/vi/F-Cm-bmdLEY/sddefault.jpg,オレンジ,7!!,1.2K,1200,29.6K,5:52,2015-02-11,"#JPOP, #7!!",https://www.marumaru-x.com/japanese-song/play-wdr60lgr35
125,https://i.ytimg.com/vi/EEMwA8KZAqg/sddefault.jpg,生きていたんだよな,あいみょん,1.2K,1200,42.4K,3:22,2016-11-30,"#JPOP, #あいみょん",https://www.marumaru-x.com/japanese-song/play-1poxj07nyw
126,https://i.ytimg.com/vi/nEukZalW7Ac/sddefault.jpg,名前を呼ぶよ,ラックライフ,1.2K,1200,41.3K,4:34,2016-05-11,"#ANM, #ラックライフ",https://www.marumaru-x.com/japanese-song/play-v7n3kxvvok
127,https://i.ytimg.com/vi/jcSVUFplqrA/sddefault.jpg,僕が死のうと思ったのは,amazarashi,1.2K,1200,71.4K,6:08,2016-02-24,"#JPOP, #amazarashi",https://www.marumaru-x.com/japanese-song/play-2go20m0n3p
128,https://i.ytimg.com/vi/M6gcoDN9jBc/sddefault.jpg,逆夢,King Gnu,1.2K,1200,47.4K,5:20,2021-12-29,"#ANM, #King Gnu",https://www.marumaru-x.com/japanese-song/play-60rm9x2znp
129,https://i.ytimg.com/vi/9MjAJSoaoSo/sddefault.jpg,香水,瑛人,1.2K,1200,55.2K,4:20,2019-04-21,"#JPOP, #瑛人",https://www.marumaru-x.com/japanese-song/play-pynpv46ynd
